Feature name;Feature value
Wysokość;47.554 cm
Wysokość;365.95 mm
Wysokość;424.8 mm
Wysokość;392.33 mm
Wysokość;367.4 mm
Wysokość;367.35 mm
Wysokość;372.3 mm
Wysokość;368.7 mm
Wysokość;313.7 mm
Wysokość;355.6 mm
Wysokość;365.5 mm
Wysokość;396.6 mm
Wysokość;172 mm
Wysokość;244 mm
Wysokość;351.5 mm
Wysokość;361.5 mm
Wysokość;329 mm
Wysokość;385 mm
Wysokość;526.5 mm
Wysokość;399.5 mm
Wysokość;400 mm
Wysokość;435 mm
Wysokość;393.5 mm
Wysokość;394.5 mm
Wysokość;401 mm
Wysokość;422.5 mm
Wysokość;455.5 mm
Wysokość;439.5 mm
Wysokość;415 mm
Wysokość;435.5 mm
Wysokość;374 mm
Wysokość;23.55 cm
Wysokość;323.7 mm
Wysokość;334.8 mm
Wysokość;363.5 mm
Wysokość;367.6 mm
Wysokość;420.9 mm
Wysokość;707.2 mm
Wysokość;302.1 mm
Wysokość;644.5 mm
Wysokość;42.16 cm
Wysokość;366 mm
Wysokość;375 mm
Wysokość;322.26 mm
Wysokość;422.3 mm
Wysokość;359.9 mm
Wysokość;295 mm
Wysokość;322 mm
Wysokość;365 mm
Wysokość;353 mm
Wysokość;368 mm
Wysokość;354 mm
Wysokość;420 mm
Wysokość;425 mm
Wysokość;423 mm
Wysokość;419 mm
Wysokość;337 mm
Wysokość;331 mm
Wysokość;327.1 mm
Wysokość;368.2 mm
Wysokość;321.6 mm
Wysokość;361.9 mm
Wysokość;424.7 mm
Wysokość;424.5 mm
Wysokość;359.8 mm
Wysokość;369.4 mm
Wysokość;334.4 mm
Szerokość;363.4 mm
Szerokość;305.96 mm
Szerokość;322.17 mm
Szerokość;359 mm
Szerokość;305.7 mm
Szerokość;321.35 mm
Szerokość;357.8 mm
Szerokość;299 mm
Szerokość;313 mm
Szerokość;358 mm
Szerokość;310.5 mm
Szerokość;358.5 mm
Szerokość;295.4 mm
Szerokość;295.3 mm
Szerokość;344.72 mm
Szerokość;321.9 mm
Szerokość;358.7 mm
Szerokość;297.4 mm
Szerokość;315.6 mm
Szerokość;306.9 mm
Szerokość;359.4 mm
Szerokość;322 mm
Szerokość;313.5 mm
Szerokość;356 mm
Szerokość;356.2 mm
Szerokość;356.1 mm
Szerokość;305 mm
Szerokość;325.4 mm
Szerokość;360.2 mm
Szerokość;324.2 mm
Szerokość;359.2 mm
Szerokość;399 mm
Szerokość;361.9 mm
Szerokość;317.7 mm
Szerokość;317.5 mm
Szerokość;359.5 mm
Szerokość;301.7 mm
Szerokość;298.7 mm
Szerokość;211 mm
Szerokość;236 mm
Szerokość;308 mm
Szerokość;340 mm
Szerokość;223 mm
Szerokość;323 mm
Szerokość;245 mm
Szerokość;278 mm
Szerokość;323.28 mm
Szerokość;287 mm
Szerokość;358.2 mm
Szerokość;80 mm
Szerokość;110.8 mm
Szerokość;22 mm
Szerokość;69.85 mm
Szerokość;22.1 mm
Szerokość;23.5 mm
Szerokość;64.2 mm
Szerokość;44 mm
Szerokość;57.5 mm
Szerokość;35 mm
Szerokość;0 mm
Szerokość;23 mm
Szerokość;69 mm
Szerokość;65 mm
Szerokość;100 mm
Szerokość;43 mm
Szerokość;69.9 mm
Szerokość;23.7 mm
Szerokość;23.67 mm
Szerokość;32.5 mm
Szerokość;80.15 mm
Szerokość;100.45 mm
Szerokość;24 mm
Szerokość;30 mm
Szerokość;6.9 cm
Szerokość;69.6 mm
Szerokość;6.96 cm
Szerokość;6.99 cm
Szerokość;70 mm
Szerokość;220 mm
Szerokość;2.2 cm
Szerokość;22.8 mm
Szerokość;69.8 mm
Szerokość;85 mm
Szerokość;100.2 mm
Szerokość;22.15 mm
Szerokość;59 mm
Szerokość;75 mm
Szerokość;79 mm
Szerokość;30.15 mm
Szerokość;70.1 mm
Szerokość;21.3 mm
Szerokość;54.03 cm
Szerokość;540.2 mm
Szerokość;616.1 mm
Szerokość;613 mm
Szerokość;614 mm
Szerokość;807 mm
Szerokość;515.55 mm
Szerokość;540.1 mm
Szerokość;565.34 mm
Szerokość;611.9 mm
Szerokość;511.4 mm
Szerokość;492.78 mm
Szerokość;539.05 mm
Szerokość;551.4 mm
Szerokość;539.47 mm
Szerokość;539 mm
Szerokość;612.5 mm
Szerokość;611.8 mm
Szerokość;612.14 mm
Szerokość;613.6 mm
Szerokość;614.6 mm
Szerokość;613.03 mm
Szerokość;808.3 mm
Szerokość;613.4 mm
Szerokość;536.1 mm
Szerokość;612.4 mm
Szerokość;808.34 mm
Szerokość;613.8 mm
Szerokość;730.2 mm
Szerokość;714.8 mm
Szerokość;817.5 mm
Szerokość;817.4 mm
Szerokość;817.45 mm
Szerokość;357.23 mm
Szerokość;326.1 mm
Szerokość;493.9 mm
Szerokość;496 mm
Szerokość;537.6 mm
Szerokość;540 mm
Szerokość;533 mm
Szerokość;539.7 mm
Szerokość;539.52 mm
Szerokość;541.04 mm
Szerokość;541.22 mm
Szerokość;531.69 mm
Szerokość;615.19 mm
Szerokość;613.83 mm
Szerokość;613.3 mm
Szerokość;612.6 mm
Szerokość;615 mm
Szerokość;620 mm
Szerokość;615.58 mm
Szerokość;614.81 mm
Szerokość;639.5 mm
Szerokość;974.6 mm
Szerokość;730.4 mm
Szerokość;324.94 mm
Szerokość;728.18 mm
Szerokość;541 mm
Szerokość;716.2 mm
Szerokość;539.5 mm
Szerokość;558 mm
Szerokość;502 mm
Szerokość;540.4 mm
Szerokość;537.4 mm
Szerokość;533.2 mm
Szerokość;570.2 mm
Szerokość;612 mm
Szerokość;612.3 mm
Szerokość;613.9 mm
Szerokość;714.7 mm
Szerokość;825.8 mm
Szerokość;541.8 mm
Szerokość;538.8 mm
Szerokość;53.78 cm
Szerokość;609.9 mm
Szerokość;608.4 mm
Szerokość;611.6 mm
Szerokość;815.7 mm
Szerokość;946.6 mm
Szerokość;555.19 mm
Szerokość;606.6 mm
Szerokość;611.44 mm
Szerokość;538.64 mm
Szerokość;471.52 mm
Szerokość;512.2 mm
Szerokość;50.426 cm
Szerokość;504.2 mm
Szerokość;55.264 mm
Szerokość;55.264 cm
Szerokość;623.3 mm
Szerokość;726 mm
Szerokość;405.6 mm
Szerokość;487.26 mm
Szerokość;537.8 mm
Szerokość;53.8 cm
Szerokość;531 mm
Szerokość;712.42 mm
Szerokość;712.4 mm
Szerokość;815.65 mm
Szerokość;322.37 mm
Szerokość;533.5 mm
Szerokość;61.16 cm
Szerokość;708.76 mm
Szerokość;807.9 mm
Szerokość;50.4 cm
Szerokość;530.8 mm
Szerokość;611.3 mm
Szerokość;65.59 cm
Szerokość;71.261 cm
Szerokość;71.26 cm
Szerokość;1214.9 mm
Szerokość;709.2 mm
Szerokość;894.26 mm
Szerokość;610.3 mm
Szerokość;615.11 mm
Szerokość;636.5 mm
Szerokość;817.7 mm
Szerokość;968.18 mm
Szerokość;539.4 mm
Szerokość;538.4 mm
Szerokość;611 mm
Szerokość;612.8 mm
Szerokość;538.5 mm
Szerokość;255 mm
Szerokość;387 mm
Szerokość;500 mm
Szerokość;493.5 mm
Szerokość;517.5 mm
Szerokość;499 mm
Szerokość;552.5 mm
Szerokość;540.5 mm
Szerokość;532 mm
Szerokość;557.5 mm
Szerokość;546.5 mm
Szerokość;613.5 mm
Szerokość;611.5 mm
Szerokość;597.9 mm
Szerokość;610.5 mm
Szerokość;610 mm
Szerokość;672.5 mm
Szerokość;730 mm
Szerokość;714 mm
Szerokość;715 mm
Szerokość;817 mm
Szerokość;977.5 mm
Szerokość;709.5 mm
Szerokość;323.37 mm
Szerokość;36 cm
Szerokość;498.3 mm
Szerokość;539.8 mm
Szerokość;557.2 mm
Szerokość;548.7 mm
Szerokość;688.4 mm
Szerokość;714.2 mm
Szerokość;494.41 mm
Szerokość;1231.4 mm
Szerokość;510.3 mm
Szerokość;1098.6 mm
Szerokość;625 mm
Szerokość;71.34 cm
Szerokość;638.3 mm
Szerokość;541.93 mm
Szerokość;652.6 mm
Szerokość;726.6 mm
Szerokość;610.4 mm
Szerokość;555.6 mm
Szerokość;610.2 mm
Szerokość;492 mm
Szerokość;536 mm
Szerokość;609 mm
Szerokość;637 mm
Szerokość;709 mm
Szerokość;808 mm
Szerokość;944 mm
Szerokość;1085 mm
Szerokość;1194 mm
Szerokość;557 mm
Szerokość;539.2 mm
Szerokość;542.3 mm
Szerokość;615.5 mm
Szerokość;539.9 mm
Szerokość;611.4 mm
Szerokość;712.7 mm
Szerokość;716.1 mm
Szerokość;813.6 mm
Szerokość;815.3 mm
Szerokość;1199.5 mm
Szerokość;1194.7 mm
Szerokość;547.9 mm
Szerokość;420 mm
Szerokość;685 mm
Szerokość;571 mm
Głębokość;238.4 mm
Głębokość;210.86 mm
Głębokość;219.43 mm
Głębokość;239.7 mm
Głębokość;207.5 mm
Głębokość;212 mm
Głębokość;233.3 mm
Głębokość;212.86 mm
Głębokość;213.16 mm
Głębokość;222.75 mm
Głębokość;250.42 mm
Głębokość;215 mm
Głębokość;235.56 mm
Głębokość;199.4 mm
Głębokość;199.04 mm
Głębokość;230.14 mm
Głębokość;242 mm
Głębokość;213.9 mm
Głębokość;251 mm
Głębokość;220.4 mm
Głębokość;225.8 mm
Głębokość;224 mm
Głębokość;208.4 mm
Głębokość;233.9 mm
Głębokość;214 mm
Głębokość;253.5 mm
Głębokość;219.3 mm
Głębokość;247.7 mm
Głębokość;218 mm
Głębokość;217 mm
Głębokość;237 mm
Głębokość;215.2 mm
Głębokość;235.8 mm
Głębokość;274 mm
Głębokość;255.5 mm
Głębokość;222.5 mm
Głębokość;226.9 mm
Głębokość;253.8 mm
Głębokość;214.6 mm
Głębokość;206.4 mm
Głębokość;15.9 mm
Głębokość;16 mm
Głębokość;223 mm
Głębokość;244 mm
Głębokość;308 mm
Głębokość;230 mm
Głębokość;175 mm
Głębokość;206 mm
Głębokość;228.32 mm
Głębokość;209 mm
Głębokość;236.9 mm
Głębokość;80 mm
Głębokość;66 mm
Głębokość;100.45 mm
Głębokość;22 mm
Głębokość;67.3 mm
Głębokość;105 mm
Głębokość;122.2 mm
Głębokość;99.5 mm
Głębokość;64.8 mm
Głębokość;0 mm
Głębokość;11 mm
Głębokość;100 mm
Głębokość;7 mm
Głębokość;65 mm
Głębokość;0.8 mm
Głębokość;100.1 mm
Głębokość;2.2 mm
Głębokość;69.5 mm
Głębokość;22.15 mm
Głębokość;70.1 mm
Głębokość;100.2 mm
Głębokość;30 mm
Głębokość;10 cm
Głębokość;8 cm
Głębokość;20.5 mm
Głębokość;8 mm
Głębokość;69.85 mm
Głębokość;80.15 mm
Głębokość;13 mm
Głębokość;100.35 mm
Głębokość;3.5 mm
Głębokość;10.8 mm
Głębokość;10.4 mm
Głębokość;100.5 mm
Głębokość;2.38 mm
Głębokość;24.01 cm
Głębokość;65.5 mm
Głębokość;38.7 mm
Głębokość;66.7 mm
Głębokość;78 mm
Głębokość;125 mm
Głębokość;41.8 mm
Głębokość;51.9 mm
Głębokość;45.5 mm
Głębokość;36.2 mm
Głębokość;47.2 mm
Głębokość;221 mm
Głębokość;37.6 mm
Głębokość;50.7 mm
Głębokość;48.8 mm
Głębokość;49.2 mm
Głębokość;51.1 mm
Głębokość;37.95 mm
Głębokość;43.9 mm
Głębokość;102.9 mm
Głębokość;50.3 mm
Głębokość;68.5 mm
Głębokość;367.33 mm
Głębokość;73.2 mm
Głębokość;104.7 mm
Głębokość;46.6 mm
Głębokość;227.4 mm
Głębokość;52.8 mm
Głębokość;44.6 mm
Głębokość;47.5 mm
Głębokość;55.7 mm
Głębokość;55.3 mm
Głębokość;55.34 mm
Głębokość;8.95 mm
Głębokość;51.3 mm
Głębokość;38 mm
Głębokość;69.9 mm
Głębokość;54 mm
Głębokość;58 mm
Głębokość;52.6 mm
Głębokość;51 mm
Głębokość;48.15 mm
Głębokość;61.37 mm
Głębokość;51.78 mm
Głębokość;47 mm
Głębokość;44.1 mm
Głębokość;60 mm
Głębokość;90 mm
Głębokość;50.5 mm
Głębokość;51.54 mm
Głębokość;37.7 mm
Głębokość;55.86 mm
Głębokość;60.12 mm
Głębokość;65.65 mm
Głębokość;74.6 mm
Głębokość;78.2 mm
Głębokość;11.2 mm
Głębokość;87.12 mm
Głębokość;36.5 mm
Głębokość;59 mm
Głębokość;12.5 mm
Głębokość;57 mm
Głębokość;189.2 mm
Głębokość;186.5 mm
Głębokość;191.78 mm
Głębokość;49.5 mm
Głębokość;239.65 mm
Głębokość;50 mm
Głębokość;56.1 mm
Głębokość;57.2 mm
Głębokość;84.95 mm
Głębokość;183 mm
Głębokość;80.3 mm
Głębokość;82.4 mm
Głębokość;86.63 mm
Głębokość;85.2 mm
Głębokość;87.4 mm
Głębokość;54.1 mm
Głębokość;54.03 mm
Głębokość;96.3 mm
Głębokość;55.4 mm
Głębokość;58.1 mm
Głębokość;59.6 mm
Głębokość;66.65 mm
Głębokość;67 mm
Głębokość;68 mm
Głębokość;180 mm
Głębokość;4.964 cm
Głębokość;4.969 cm
Głębokość;50.41 mm
Głębokość;68.6 mm
Głębokość;5.2 cm
Głębokość;84.85 mm
Głębokość;14.3 mm
Głębokość;53.8 mm
Głębokość;88.7 mm
Głębokość;56.74 mm
Głębokość;82.39 mm
Głębokość;85.8 mm
Głębokość;5.578 cm
Głębokość;5.797 cm
Głębokość;40.13 mm
Głębokość;64 mm
Głębokość;102.35 mm
Głębokość;53.4 mm
Głębokość;84.5 mm
Głębokość;42.22 mm
Głębokość;63.1 mm
Głębokość;67.5 mm
Głębokość;38.5 mm
Głębokość;57.1 mm
Głębokość;30.5 mm
Głębokość;219 mm
Głębokość;239.5 mm
Głębokość;210 mm
Głębokość;209.5 mm
Głębokość;252 mm
Głębokość;197 mm
Głębokość;52 mm
Głębokość;245.5 mm
Głębokość;187.5 mm
Głębokość;1.63 cm
Głębokość;46.5 mm
Głębokość;41.7 mm
Głębokość;46.2 mm
Głębokość;59.5 mm
Głębokość;29.7 mm
Głębokość;39.9 mm
Głębokość;5.876 cm
Głębokość;83 mm
Głębokość;57.5 mm
Głębokość;72 mm
Głębokość;45.39 mm
Głębokość;67.1 mm
Głębokość;250 mm
Głębokość;45 mm
Głębokość;46 mm
Głębokość;55 mm
Głębokość;43 mm
Głębokość;41 mm
Głębokość;42 mm
Głębokość;62 mm
Głębokość;88 mm
Głębokość;95 mm
Głębokość;49 mm
Głębokość;107 mm
Głębokość;110 mm
Głębokość;158 mm
Głębokość;156 mm
Głębokość;41.3 mm
Głębokość;42.7 mm
Głębokość;44.2 mm
Głębokość;27.1 mm
Głębokość;83.6 mm
Głębokość;128.1 mm
Głębokość;36.4 mm
Głębokość;193.7 mm
Głębokość;180.8 mm
Głębokość;34.6 mm
Waga;1.7 kg
Waga;1.25 kg
Waga;1.54 kg
Waga;1.81 kg
Waga;1.23 kg
Waga;1.39 kg
Waga;1.59 kg
Waga;1.613 kg
Waga;0.982 kg
Waga;1.156 kg
Waga;1.322 kg
Waga;1.837 kg
Waga;1.53 kg
Waga;1.69 kg
Waga;1.66 kg
Waga;1.17 kg
Waga;1.26 kg
Waga;1.92 kg
Waga;1.74 kg
Waga;1.41 kg
Waga;1.73 kg
Waga;0.99 kg
Waga;1.34 kg
Waga;1.36 kg
Waga;1.19 kg
Waga;1.22 kg
Waga;1.37 kg
Waga;1.4 kg
Waga;1.77 kg
Waga;1.38 kg
Waga;1.79 kg
Waga;1351 g
Waga;1.97 kg
Waga;1.76 kg
Waga;1.65 kg
Waga;1.67 kg
Waga;2.2 kg
Waga;1.12 kg
Waga;1.32 kg
Waga;1.42 kg
Waga;1.21 kg
Waga;1.88 kg
Waga;1.06 kg
Waga;1.18 kg
Waga;1.56 kg
Waga;1.3 kg
Waga;1.27 kg
Waga;1.89 kg
Waga;1.98 kg
Waga;544 g
Waga;1.13 kg
Waga;4 kg
Waga;0.88 kg
Waga;60 g
Waga;160 g
Waga;9 g
Waga;6.2 g
Waga;6.3 g
Waga;5 g
Waga;10.6 g
Waga;11 g
Waga;7.3 g
Waga;47.5 g
Waga;47.5 kg
Waga;7 g
Waga;59.5 kg
Waga;59.5 g
Waga;10 g
Waga;10.4 g
Waga;13.4 g
Waga;8 g
Waga;13 g
Waga;181.52 g
Waga;54.9 g
Waga;95 kg
Waga;95 g
Waga;136 g
Waga;31 g
Waga;46 g
Waga;0 kg
Waga;34 g
Waga;0.025 kg
Waga;0.034 kg
Waga;0.03 kg
Waga;8.2 g
Waga;146 g
Waga;42 g
Waga;35 g
Waga;67 g
Waga;69 g
Waga;71 g
Waga;32.1 g
Waga;9.7 g
Waga;34.9 g
Waga;40 g
Waga;58 g
Waga;95.5 g
Waga;91.33 g
Waga;105.33 g
Waga;77.1 g
Waga;45 g
Waga;90 g
Waga;6.8 kg
Waga;45.6 g
Waga;6.9 g
Waga;45.7 g
Waga;6 g
Waga;48.6 g
Waga;54 g
Waga;18.3 g
Waga;70 g
Waga;895 g
Waga;105 g
Waga;53 g
Waga;25 g
Waga;23.5 g
Waga;32.5 g
Waga;68 g
Waga;48 g
Waga;92 g
Waga;52 g
Waga;47 g
Waga;17 g
Waga;6.6 g
Waga;98 g
Waga;44 g
Waga;3 g
Waga;7.4 g
Waga;50 g
Waga;79 g
Waga;74 g
Waga;63 g
Waga;33 g
Waga;13.8 g
Waga;6.5 kg
Waga;4.8 g
Waga;34.6 g
Waga;36.2 g
Waga;5.1 g
Waga;7.5 g
Waga;5.5 g
Waga;3.3 kg
Waga;3.8 kg
Waga;3.67 kg
Waga;3.1 kg
Waga;4.34 kg
Waga;5.35 kg
Waga;6.36 kg
Waga;2.45 kg
Waga;3 kg
Waga;2.8 kg
Waga;4.6 kg
Waga;2.9 kg
Waga;2.1 kg
Waga;4.41 kg
Waga;3.58 kg
Waga;2.7 kg
Waga;3.7 kg
Waga;4.75 kg
Waga;5.07 kg
Waga;5.6 kg
Waga;3.6 kg
Waga;4.63 kg
Waga;5.23 kg
Waga;5.53 kg
Waga;6.26 kg
Waga;6.45 kg
Waga;3.84 kg
Waga;4.14 kg
Waga;10 kg
Waga;4.1 kg
Waga;6.6 kg
Waga;6.64 kg
Waga;7.1 kg
Waga;10.1 kg
Waga;7.67 kg
Waga;9.14 kg
Waga;0.65 kg
Waga;2.44 kg
Waga;1.95 kg
Waga;3.37 kg
Waga;3.21 kg
Waga;4.4 kg
Waga;3.34 kg
Waga;2.46 kg
Waga;2.87 kg
Waga;3.5 kg
Waga;3.9 kg
Waga;4.2 kg
Waga;5.7 kg
Waga;4.8 kg
Waga;3.85 kg
Waga;4.7 kg
Waga;4.37 kg
Waga;4.67 kg
Waga;14.2 kg
Waga;0.59 kg
Waga;5.77 kg
Waga;5.9 kg
Waga;0.87 kg
Waga;3.26 kg
Waga;3.4 kg
Waga;6.2 kg
Waga;9.5 kg
Waga;4.5 kg
Waga;4.9 kg
Waga;5.25 kg
Waga;6.3 kg
Waga;7.9 kg
Waga;6.9 kg
Waga;9.1 kg
Waga;12 kg
Waga;3.2 kg
Waga;3.86 kg
Waga;4.65 kg
Waga;4.08 kg
Waga;6.95 kg
Waga;3.45 kg
Waga;5.71 kg
Waga;4.38 kg
Waga;4.33 kg
Waga;2.68 kg
Waga;3.35 kg
Waga;2.26 kg
Waga;2.6 kg
Waga;3.11 kg
Waga;3.78 kg
Waga;6.03 kg
Waga;6.61 kg
Waga;2.82 kg
Waga;3.39 kg
Waga;3.81 kg
Waga;3.52 kg
Waga;3.44 kg
Waga;4.54 kg
Waga;7.06 kg
Waga;5.28 kg
Waga;7.43 kg
Waga;590 g
Waga;4.3 kg
Waga;5.4 kg
Waga;5.18 kg
Waga;6.7 kg
Waga;7.7 kg
Waga;3.96 kg
Waga;7.26 kg
Waga;7.37 kg
Waga;8.79 kg
Waga;6.33 kg
Waga;7.05 kg
Waga;0.8 kg
Waga;1.5 kg
Waga;5.5 kg
Waga;5.8 kg
Waga;5 kg
Waga;6.4 kg
Waga;5.1 kg
Waga;5.3 kg
Waga;8.8 kg
Waga;8.6 kg
Waga;13.1 kg
Waga;860 g
Waga;7.2 kg
Waga;16.1 kg
Waga;15.4 kg
Waga;6.44 kg
Waga;4.15 kg
Waga;3.95 kg
Waga;3.75 kg
Waga;2.5 kg
Waga;2.65 kg
Waga;2.21 kg
Waga;2.23 kg
Waga;2.4 kg
Waga;3.01 kg
Waga;3.09 kg
Waga;3.08 kg
Waga;2.64 kg
Waga;2.49 kg
Waga;2.98 kg
Waga;2.61 kg
Waga;4.04 kg
Waga;4.23 kg
Waga;3.77 kg
Waga;4.13 kg
Waga;4.18 kg
Waga;4.56 kg
Waga;3.48 kg
Waga;3.54 kg
Waga;3.43 kg
Waga;5.47 kg
Waga;4.28 kg
Waga;4.27 kg
Waga;7.21 kg
Waga;6.52 kg
Waga;7.54 kg
Waga;6.89 kg
Waga;6.1 kg
Waga;5.43 kg
Waga;7.83 kg
Waga;7.95 kg
Waga;9.72 kg
Waga;9.75 kg
Waga;9.9 kg
Waga;11 kg
Waga;9.2 kg
Typ gwarancji;gwarancja zewnętrzna
Typ gwarancji;gwarancja normalna
Typ gwarancji;gwarancja wieczysta
Typ gwarancji;rękojmia
Okres gwarancji (miesiące);24
Okres gwarancji (miesiące);36
Okres gwarancji (miesiące);12
Okres gwarancji (miesiące);60
Okres gwarancji (miesiące);120
Okres gwarancji (miesiące);360
Okres gwarancji (miesiące);46
Dokowanie;Nie
Dokowanie;Tak
Dokowanie;Thunderbolt 4
Dokowanie;Tak • Thunderbolt 4
Dokowanie;Nie • Thunderbolt 4
Dokowanie;Surface Connect
Podświetlana klawiatura;Nie
Podświetlana klawiatura;Tak
Czytnik linii papilarnych;Nie
Czytnik linii papilarnych;Tak
Jasność;250 nits
Jasność;400 nits
Jasność;300 nits
Jasność;500 nits
Jasność;500 cd/m²
Jasność;250 cd/m²
Jasność;1000 nits
Jasność;0 cd/m²
Jasność;400 cd/m²
Jasność;600 nits
Jasność;320 cd/m²
Jasność;450 nits
Jasność;250 cd/m2
Jasność;300 cd/m²
Jasność;200 cd/m²
Jasność;350 cd/m²
Jasność;360 cd/m²
Jasność;600 cd/m²
Jasność;220 cd/m²
Jasność;350 nits
Jasność;385 cd/m²
Jasność;255 cd/m²
Jasność;550 cd/m²
Jasność;700 nits
Jasność;450 cd/m²
TCO Certified;Tak
Generacja procesora;Trzynasta
Generacja procesora;Dwunasta
Generacja procesora;Jedenasta
Generacja procesora;Czwarta
Generacja procesora;Dziesiąta
Częstotliwość szyny pamięci;4800 MHz
Częstotliwość szyny pamięci;3200 MHz
Częstotliwość szyny pamięci;5200 MHz
Częstotliwość szyny pamięci;2666 MHz
Częstotliwość szyny pamięci;6000 MHz
Częstotliwość szyny pamięci;6400 MHz
Częstotliwość szyny pamięci;4266 MHz
Częstotliwość szyny pamięci;7200 MHz
Częstotliwość szyny pamięci;2133 MHz
Częstotliwość szyny pamięci;3600 MHz
Częstotliwość szyny pamięci;1333 MHz
Częstotliwość szyny pamięci;1600 MHz
Częstotliwość szyny pamięci;2133 MHz • 2400 MHz • 2667 MHz • 2933 MHz • 3200 MHz
Częstotliwość szyny pamięci;2133 MHz • 2400 MHz • 2667 MHz • 2933 MHz • 3200 MHz • 3466 MHz • 3533 MHz
Częstotliwość szyny pamięci;2133 MHz • 2400 MHz • 2667 MHz • 2933 MHz • 3200 MHz • 3466 MHz • 3600 MHz • 3733 MHz • 3800 MHz • 3866 MHz • 4000 MHz • 4133 MHz • 4200 MHz • 4266 MHz • 4333 MHz • 4400 MHz • 4533 MHz
Częstotliwość szyny pamięci;2133 MHz • 2400 MHz • 2667 MHz • 2933 MHz • 3200 MHz • 3466 MHz • 3733 MHz • 3800 MHz • 4000 MHz • 4133 MHz • 4200 MHz • 4266 MHz • 4333 MHz • 4400 MHz • 4600 MHz
Częstotliwość szyny pamięci;2133 MHz • 2400 MHz • 2667 MHz • 2933 MHz • 3600 MHz • 3733 MHz • 3800 MHz • 3866 MHz • 4000 MHz • 4133 MHz • 4266 MHz • 4333 MHz • 4400 MHz • 4533 MHz • 4600 MHz
Częstotliwość szyny pamięci;3600 MHz • 4000 MHz
Częstotliwość szyny pamięci;6200 MHz
Częstotliwość szyny pamięci;6600 MHz
Częstotliwość szyny pamięci;5333 MHz
Częstotliwość szyny pamięci;3200 MHz • 4000 MHz • 4266 MHz • 4400 MHz • 5333 MHz
Częstotliwość szyny pamięci;2133 MHz • 2400 MHz • 2666 MHz
Częstotliwość szyny pamięci;2133 MHz • 2400 MHz • 2667 MHz • 2933 MHz • 3200 MHz • 3466 MHz • 3600 MHz • 3733 MHz • 3800 MHz • 3866 MHz • 4000 MHz
Częstotliwość szyny pamięci;2133 MHz • 2400 MHz • 2667 MHz • 2933 MHz • 3300 MHz • 3466 MHz • 3600 MHz • 3733 MHz • 3800 MHz • 3866 MHz • 4000 MHz
Częstotliwość szyny pamięci;4800 MHz • 5600 MHz • 6000 MHz • 6800 MHz
Częstotliwość szyny pamięci;6800 MHz
Częstotliwość szyny pamięci;4000 MHz • 4266 MHz • 4400 MHz • 5333 MHz
Częstotliwość szyny pamięci;2133 MHz • 2400 MHz • 2666 MHz • 2800 MHz • 3000 MHz • 3200 MHz
Częstotliwość szyny pamięci;2133 MHz • 2400 MHz • 2666 MHz • 2800 MHz • 3000 MHz • 3200 MHz • 3300 MHz • 3400 MHz • 3466 MHz • 3600 MHz • 3733 MHz • 3866 MHz • 4000 MHz • 4400 MHz
Częstotliwość szyny pamięci;2133 MHz • 2400 MHz • 2666 MHz • 2800 MHz • 2933 MHz • 3000 MHz • 3200 MHz • 3466 MHz • 4400 MHz
Częstotliwość szyny pamięci;4800 MHz • 5000 MHz • 5200 MHz • 5400 MHz • 5600 MHz • 5800 MHz • 6000 MHz • 6200 MHz • 6400 MHz
Częstotliwość szyny pamięci;2133 MHz • 2400 MHz • 2666 MHz • 2800 MHz • 2933 MHz • 3000 MHz • 3200 MHz • 3333 MHz • 3400 MHz • 3466 MHz • 3600 MHz • 3733 MHz • 3866 MHz • 4000 MHz • 4266 MHz • 4400 MHz • 4600 MHz • 4800 MHz • 5000 MHz
Częstotliwość szyny pamięci;2133 MHz • 2400 MHz • 2666 MHz • 2800 MHz • 2933 MHz • 3200 MHz
Częstotliwość szyny pamięci;2666 MHz • 2933 MHz
Częstotliwość szyny pamięci;2133 MHz • 2400 MHz • 2666 MHz • 2800 MHz • 2933 MHz • 3000 MHz • 3200 MHz
Częstotliwość szyny pamięci;4800 MHz • 5000 MHz • 5200 MHz • 5400 MHz • 5600 MHz • 5800 MHz • 6000 MHz • 6200 MHz • 6400 MHz • 6600 MHz • 6800 MHz • 7000 MHz
Częstotliwość szyny pamięci;4800 MHz • 5000 MHz • 5200 MHz • 5400 MHz • 5600 MHz • 5800 MHz • 6000 MHz • 6200 MHz • 6400 MHz • 6600 MHz • 6800 MHz • 7000 MHz • 7200 MHz
Częstotliwość szyny pamięci;4800 MHz • 5000 MHz • 5200 MHz • 5400 MHz • 5600 MHz • 5800 MHz • 6000 MHz • 6200 MHz • 6400 MHz • 6600 MHz • 6800 MHz • 7000 MHz • 7200 MHz • 7400 MHz • 7600 MHz • 7800 MHz • 8000 MHz • 8200 MHz • 8400 MHz
Częstotliwość szyny pamięci;3000 MHz • 3200 MHz • 3333 MHz • 3400 MHz • 3466 MHz • 3600 MHz • 3733 MHz • 3866 MHz • 4000 MHz • 4133 MHz • 4266 MHz • 4400 MHz • 4500 MHz • 4600 MHz • 4700 MHz • 4800 MHz • 5000 MHz • 5133 MHz • 5333 MHz
